date,close,high,low,open,close,volume
2003/3/21,1474.657,1475.809,1461.915,1464.184,1464.54,7617922
2003/3/20,1464.54,1477.253,1460.799,1469.663,1469.96,7655740
2003/3/19,1469.96,1475.844,1452.592,1458.582,1459.892,7637422
2003/3/18,1459.892,1478.995,1458.979,1468.986,1469.274,7088745
2003/3/17,1469.274,1469.533,1453.368,1465.144,1466.044,7187381
2003/3/14,1466.044,1471.499,1461.351,1464.992,1464.649,5613442
2003/3/13,1464.649,1477.858,1463.33,1475.037,1475.008,6033789
2003/3/12,1475.008,1475.287,1458.5,1468.747,1469.548,6403671
2003/3/11,1469.548,1473.955,1463.584,1467.551,1468.919,6336210
2003/3/10,1468.919,1496.164,1467.639,1492.209,1493.093,8947347
2003/3/7,1493.093,1502.428,1489.384,1495.694,1498.343,8335401
2003/3/6,1498.343,1517.348,1494.241,1516.601,1517.179,9982208
2003/3/5,1517.179,1524.123,1508.251,1524.077,1524.304,8142890
2003/3/4,1524.304,1529.752,1517.859,1527.449,1525.483,9198499
2003/3/3,1525.483,1525.699,1511.045,1511.585,1511.932,10236144
2003/2/28,1511.932,1514.502,1501.424,1512.865,1513.704,8360100
2003/2/27,1513.704,1524.751,1508.747,1514.024,1513.175,10416100
2003/2/26,1513.175,1515.457,1506.553,1513.493,1511.275,8486200
2003/2/25,1511.275,1511.649,1481.106,1481.106,1481.936,12912800
2003/2/24,1481.936,1488.072,1474.471,1476.07,1478.871,7947700
2003/2/21,1478.871,1508.129,1476.415,1508.077,1509.486,12053400
2003/2/20,1509.486,1517.766,1507.227,1513.007,1510.803,10019900
2003/2/19,1510.803,1511.132,1490.022,1496.651,1496.468,12157155
2003/2/18,1496.468,1500.293,1488.827,1495.141,1496.523,7252743
2003/2/17,1496.523,1514.636,1490.918,1510.64,1510.95,11086400
2003/2/14,1510.95,1515.255,1500.983,1503.373,1504.338,9248600
2003/2/13,1504.338,1519.29,1502.431,1512.285,1510.671,13093300
2003/2/12,1510.671,1510.985,1486.313,1493.248,1492.764,10627700
2003/2/11,1492.764,1492.894,1476.874,1478.046,1480.169,5979700
2003/2/10,1480.169,1499.641,1477.517,1499.166,1499.815,7999500
2003/1/29,1499.815,1508.588,1498.372,1501.286,1500.639,12698300
2003/1/28,1500.639,1502.432,1489.165,1497.098,1496.157,10478500
