"date","time","open","high","low","close","volume"
06/20/2018,1403,187.03,187.03,186.89,186.9,48446
06/20/2018,1404,186.89,186.92,186.87,186.89,41393
06/20/2018,1405,186.89,186.9,186.84,186.84,18302
06/20/2018,1406,186.84,186.86,186.77,186.77,28716
06/20/2018,1407,186.77,186.77,186.74,186.75,20979
06/20/2018,1408,186.75,186.77,186.71,186.73,18785
06/20/2018,1409,186.73,186.73,186.69,186.69,20111
06/20/2018,1410,186.7,186.7,186.64,186.68,34534
06/20/2018,1411,186.69,186.7,186.65,186.67,25704
06/20/2018,1412,186.68,186.74,186.63,186.73,51041
06/20/2018,1413,186.73,186.85,186.68,186.85,62094
06/20/2018,1414,186.84,186.86,186.78,186.85,37408
06/20/2018,1415,186.84,186.91,186.77,186.89,23156
06/20/2018,1416,186.91,186.94,186.8,186.8,32762
06/20/2018,1417,186.81,186.84,186.74,186.84,27210
06/20/2018,1418,186.84,186.98,186.79,186.81,45252
06/20/2018,1419,186.8,186.8,186.69,186.77,16817
06/20/2018,1420,186.75,186.76,186.73,186.73,18507
06/20/2018,1421,186.73,186.74,186.7,186.72,15526
06/20/2018,1422,186.73,186.8,186.73,186.78,18724
06/20/2018,1423,186.79,186.81,186.75,186.75,17144
06/20/2018,1424,186.76,186.79,186.73,186.76,15697
06/20/2018,1425,186.77,186.78,186.74,186.76,19769
06/20/2018,1426,186.75,186.75,186.68,186.73,19609
06/20/2018,1427,186.73,186.75,186.71,186.75,19062
06/20/2018,1428,186.74,186.77,186.73,186.76,21112
06/20/2018,1429,186.76,186.84,186.73,186.84,16837
06/20/2018,1430,186.83,186.83,186.77,186.79,14375
06/20/2018,1431,186.79,186.8,186.76,186.76,12005
06/20/2018,1432,186.77,186.78,186.74,186.76,17539
06/20/2018,1433,186.76,186.76,186.7,186.73,23293
06/20/2018,1434,186.73,186.75,186.68,186.69,12575
06/20/2018,1435,186.69,186.72,186.67,186.68,15258
06/20/2018,1436,186.68,186.73,186.67,186.73,22329
06/20/2018,1437,186.74,186.79,186.74,186.75,27085
06/20/2018,1438,186.76,186.77,186.7,186.74,15150
06/20/2018,1439,186.75,186.75,186.71,186.74,9477
06/20/2018,1440,186.74,186.74,186.72,186.73,8004
06/20/2018,1441,186.74,186.74,186.69,186.71,20685
06/20/2018,1442,186.7,186.7,186.62,186.64,50526
06/20/2018,1443,186.63,186.64,186.6,186.63,18337
06/20/2018,1444,186.63,186.63,186.42,186.52,153949
06/20/2018,1445,186.53,186.54,186.49,186.5,26062
06/20/2018,1446,186.5,186.54,186.5,186.53,23415
06/20/2018,1447,186.53,186.58,186.52,186.53,23066
06/20/2018,1448,186.52,186.55,186.52,186.53,19496
06/20/2018,1449,186.53,186.57,186.5,186.5,21156
06/20/2018,1450,186.49,186.56,186.47,186.56,17936
06/20/2018,1451,186.56,186.58,186.54,186.55,17070
06/20/2018,1452,186.55,186.56,186.49,186.54,13996
06/20/2018,1453,186.54,186.58,186.54,186.55,20760
06/20/2018,1454,186.54,186.56,186.53,186.56,8594
06/20/2018,1455,186.56,186.63,186.53,186.55,39735
06/20/2018,1456,186.56,186.56,186.42,186.44,32633
06/20/2018,1457,186.45,186.46,186.32,186.45,66049
06/20/2018,1458,186.45,186.48,186.35,186.48,34790
06/20/2018,1459,186.48,186.48,186.37,186.42,15698
06/20/2018,1500,186.42,186.43,186.33,186.34,32860
06/20/2018,1501,186.35,186.38,186.3,186.37,35556
06/20/2018,1502,186.36,186.41,186.36,186.4,14857
06/20/2018,1503,186.41,186.5,186.4,186.46,46097
06/20/2018,1504,186.46,186.46,186.36,186.41,20125
06/20/2018,1505,186.42,186.45,186.37,186.37,20540
06/20/2018,1506,186.38,186.53,186.36,186.44,41638
06/20/2018,1507,186.45,186.47,186.42,186.44,16510
06/20/2018,1508,186.44,186.61,186.39,186.6,37129
06/20/2018,1509,186.61,186.67,186.56,186.64,24173
06/20/2018,1510,186.65,186.66,186.61,186.62,22718
06/20/2018,1511,186.62,186.62,186.57,186.57,11226
06/20/2018,1512,186.57,186.68,186.54,186.68,30369
06/20/2018,1513,186.67,186.67,186.62,186.65,23860
06/20/2018,1514,186.65,186.68,186.62,186.65,42362
06/20/2018,1515,186.65,186.65,186.61,186.65,27516
06/20/2018,1516,186.65,186.65,186.58,186.59,37170
06/20/2018,1517,186.59,186.64,186.59,186.64,9774
06/20/2018,1518,186.65,186.66,186.6,186.65,21980
06/20/2018,1519,186.66,186.66,186.62,186.62,17625
06/20/2018,1520,186.61,186.65,186.58,186.64,22489
06/20/2018,1521,186.63,186.66,186.59,186.6,46018
06/20/2018,1522,186.61,186.63,186.55,186.56,18167
06/20/2018,1523,186.56,186.56,186.5,186.52,21209
06/20/2018,1524,186.53,186.56,186.47,186.55,19632
06/20/2018,1525,186.54,186.65,186.54,186.62,23855
06/20/2018,1526,186.61,186.61,186.57,186.61,13869
06/20/2018,1527,186.6,186.64,186.59,186.64,27840
06/20/2018,1528,186.63,186.64,186.6,186.64,28685
06/20/2018,1529,186.64,186.64,186.61,186.64,25172
06/20/2018,1530,186.65,186.7,186.63,186.7,33478
06/20/2018,1531,186.7,186.71,186.67,186.7,40519
06/20/2018,1532,186.7,186.77,186.67,186.77,39115
06/20/2018,1533,186.77,186.91,186.77,186.88,46924
06/20/2018,1534,186.88,186.91,186.84,186.9,42308
06/20/2018,1535,186.89,186.91,186.84,186.84,29599
06/20/2018,1536,186.84,186.84,186.76,186.77,50112
06/20/2018,1537,186.77,186.81,186.72,186.73,33640
06/20/2018,1538,186.72,186.73,186.67,186.69,34092
06/20/2018,1539,186.7,186.79,186.7,186.77,44558
06/20/2018,1540,186.77,186.78,186.73,186.73,36688
06/20/2018,1541,186.73,186.76,186.67,186.74,43368
06/20/2018,1542,186.73,186.73,186.62,186.68,58288
06/20/2018,1543,186.69,186.76,186.69,186.76,29981
06/20/2018,1544,186.75,186.79,186.71,186.73,45912
06/20/2018,1545,186.72,186.75,186.69,186.72,50087
06/20/2018,1546,186.72,186.73,186.69,186.71,41988
06/20/2018,1547,186.72,186.78,186.7,186.74,37709
06/20/2018,1548,186.74,186.8,186.73,186.79,43548
06/20/2018,1549,186.78,186.83,186.77,186.8,74493
06/20/2018,1550,186.8,186.9,186.44,186.57,170919
06/20/2018,1551,186.58,186.61,186.54,186.59,43151
06/20/2018,1552,186.59,186.62,186.4,186.44,85191
06/20/2018,1553,186.44,186.51,186.44,186.49,45136
06/20/2018,1554,186.49,186.54,186.47,186.54,37374
06/20/2018,1555,186.54,186.56,186.48,186.51,67563
06/20/2018,1556,186.5,186.6,186.49,186.54,53373
06/20/2018,1557,186.53,186.54,186.43,186.43,80547
06/20/2018,1558,186.43,186.58,186.38,186.56,201438
06/20/2018,1559,186.57,186.59,186.33,186.5,411581
06/21/2018,0930,187.21,187.46,187.05,187.32,337643
06/21/2018,0931,187.34,187.42,187.18,187.19,87969
06/21/2018,0932,187.2,187.21,186.96,187.06,61030
06/21/2018,0933,187.06,187.15,187.04,187.11,50009
06/21/2018,0934,187.1,187.21,187.03,187.13,42100
06/21/2018,0935,187.13,187.33,187.12,187.21,47461
06/21/2018,0936,187.2,187.36,187.18,187.27,39385
06/21/2018,0937,187.26,187.26,186.96,187.01,47591
06/21/2018,0938,187.01,187.07,187,187.02,43258
06/21/2018,0939,187.01,187.11,187.01,187.08,55108
06/21/2018,0940,187.08,187.17,187.03,187.15,48551
06/21/2018,0941,187.16,187.3,187.16,187.24,61164
06/21/2018,0942,187.25,187.4,187.22,187.4,54229
06/21/2018,0943,187.41,187.49,187.37,187.46,66634
06/21/2018,0944,187.46,187.64,187.44,187.56,96377
06/21/2018,0945,187.55,187.57,187.36,187.41,77071
06/21/2018,0946,187.41,187.6,187.41,187.59,45252
06/21/2018,0947,187.6,187.81,187.6,187.76,146278
06/21/2018,0948,187.76,187.79,187.7,187.71,63333
06/21/2018,0949,187.71,187.8,187.69,187.8,71638
06/21/2018,0950,187.81,187.99,187.8,187.98,84073
06/21/2018,0951,187.97,188.13,187.96,188.06,113126
06/21/2018,0952,188.05,188.33,188.04,188.28,96476
06/21/2018,0953,188.3,188.35,188.18,188.19,92542
06/21/2018,0954,188.19,188.27,188.19,188.26,67732
06/21/2018,0955,188.25,188.27,188.08,188.12,51306
06/21/2018,0956,188.13,188.23,188.1,188.13,74733
06/21/2018,0957,188.12,188.12,187.95,188.01,89602
06/21/2018,0958,188.01,188.19,188.01,188.14,66579
06/21/2018,0959,188.15,188.15,187.73,187.79,76398
06/21/2018,1000,187.78,187.78,187.62,187.63,84296
06/21/2018,1001,187.62,187.65,187.56,187.58,48497
06/21/2018,1002,187.58,187.7,187.58,187.68,41468
06/21/2018,1003,187.69,187.72,187.59,187.66,47462
06/21/2018,1004,187.66,187.66,187.43,187.46,47255
06/21/2018,1005,187.48,187.49,187.34,187.4,53840
06/21/2018,1006,187.38,187.42,187.26,187.28,49661
06/21/2018,1007,187.28,187.38,187.2,187.22,56889
06/21/2018,1008,187.21,187.26,187.16,187.24,63084
06/21/2018,1009,187.22,187.23,187.07,187.14,56763
06/21/2018,1010,187.14,187.33,187.14,187.32,59941
06/21/2018,1011,187.34,187.42,187.34,187.41,55443
06/21/2018,1012,187.42,187.47,187.36,187.38,69584
06/21/2018,1013,187.38,187.44,187.32,187.44,56565
06/21/2018,1014,187.45,187.54,187.42,187.49,71914
06/21/2018,1015,187.5,187.55,187.45,187.5,45873
06/21/2018,1016,187.51,187.73,187.48,187.73,129919
06/21/2018,1017,187.71,187.74,187.4,187.44,118742
06/21/2018,1018,187.44,187.49,187.16,187.18,104228
06/21/2018,1019,187.19,187.25,186.88,186.89,200832
06/21/2018,1020,186.89,187.09,186.85,186.96,77112
06/21/2018,1021,186.95,187.01,186.8,186.85,76278
06/21/2018,1022,186.84,187.02,186.7,186.84,77626
06/21/2018,1023,186.84,187.07,186.76,187.04,76271
06/21/2018,1024,187.06,187.09,186.99,187.07,48780
06/21/2018,1025,187.08,187.15,186.92,187.07,63228
06/21/2018,1026,187.09,187.12,186.93,187.07,42016
06/21/2018,1027,187.06,187.07,186.95,186.96,30763
06/21/2018,1028,186.96,187,186.86,186.97,55000
06/21/2018,1029,186.96,187.1,186.88,187.07,35770
06/21/2018,1030,187.08,187.28,187.07,187.27,59829
06/21/2018,1031,187.27,187.29,187.19,187.27,42309
06/21/2018,1032,187.27,187.29,187.16,187.29,40843
06/21/2018,1033,187.26,187.27,187.13,187.23,57601
06/21/2018,1034,187.24,187.25,187.15,187.21,25599
06/21/2018,1035,187.24,187.27,187.07,187.1,30187
06/21/2018,1036,187.08,187.09,186.89,187.02,63268
06/21/2018,1037,187.02,187.02,186.78,186.8,56446
06/21/2018,1038,186.8,187.02,186.79,187,63947
06/21/2018,1039,187,187.02,186.85,186.9,29438
06/21/2018,1040,186.9,186.93,186.79,186.81,27954
06/21/2018,1041,186.79,187.02,186.76,186.99,57314
06/21/2018,1042,186.98,187.01,186.9,186.98,22119
06/21/2018,1043,186.99,186.99,186.84,186.9,15416
06/21/2018,1044,186.9,186.96,186.79,186.93,50919
06/21/2018,1045,186.91,186.91,186.48,186.54,126267
06/21/2018,1046,186.54,186.87,186.46,186.86,69357
06/21/2018,1047,186.86,186.93,186.8,186.86,31659
06/21/2018,1048,186.86,186.86,186.63,186.68,46488
06/21/2018,1049,186.68,186.86,186.67,186.83,34574
06/21/2018,1050,186.84,186.87,186.74,186.74,57369
06/21/2018,1051,186.75,186.83,186.7,186.81,38108
06/21/2018,1052,186.83,186.9,186.78,186.83,40329
06/21/2018,1053,186.82,186.93,186.77,186.9,33166
06/21/2018,1054,186.9,186.97,186.9,186.96,52870
06/21/2018,1055,186.96,186.98,186.86,186.86,24666
06/21/2018,1056,186.87,186.88,186.78,186.82,28382
06/21/2018,1057,186.82,186.9,186.8,186.83,41954
06/21/2018,1058,186.81,186.87,186.73,186.75,37613
06/21/2018,1059,186.76,186.81,186.66,186.66,52313
06/21/2018,1100,186.65,186.74,186.52,186.62,65453
06/21/2018,1101,186.62,186.84,186.59,186.69,54572
06/21/2018,1102,186.7,186.72,186.59,186.65,27306
06/21/2018,1103,186.64,186.73,186.5,186.73,48948
06/21/2018,1104,186.72,186.74,186.61,186.63,29115
06/21/2018,1105,186.62,186.71,186.53,186.57,34641
06/21/2018,1106,186.56,186.57,186.38,186.44,72969
06/21/2018,1107,186.45,186.54,186.35,186.41,69653
06/21/2018,1108,186.43,186.56,186.4,186.48,27476
06/21/2018,1109,186.48,186.61,186.41,186.44,72647
06/21/2018,1110,186.44,186.54,186.37,186.37,34841
06/21/2018,1111,186.39,186.49,186.33,186.47,27990
06/21/2018,1112,186.47,186.59,186.39,186.59,34608
06/21/2018,1113,186.6,186.71,186.58,186.67,27195
06/21/2018,1114,186.67,186.77,186.62,186.71,29762
06/21/2018,1115,186.72,186.86,186.72,186.78,57999
06/21/2018,1116,186.79,186.8,186.72,186.77,22943
06/21/2018,1117,186.76,186.89,186.76,186.89,23914
06/21/2018,1118,186.89,186.9,186.79,186.82,15646
06/21/2018,1119,186.82,186.83,186.75,186.76,15296
06/21/2018,1120,186.75,186.76,186.67,186.69,26905
06/21/2018,1121,186.7,186.76,186.64,186.69,26935
06/21/2018,1122,186.7,186.77,186.7,186.74,20991
06/21/2018,1123,186.73,186.81,186.7,186.7,23320
06/21/2018,1124,186.73,186.8,186.72,186.75,12407
06/21/2018,1125,186.74,186.78,186.68,186.77,18560
06/21/2018,1126,186.81,186.93,186.8,186.82,55400
06/21/2018,1127,186.84,186.85,186.75,186.83,20589
06/21/2018,1128,186.84,186.87,186.74,186.74,12974
06/21/2018,1129,186.74,186.74,186.63,186.67,46286
06/21/2018,1130,186.67,186.87,186.67,186.87,40018
06/21/2018,1131,186.86,186.88,186.75,186.78,37982
06/21/2018,1132,186.78,186.79,186.71,186.75,21079
06/21/2018,1133,186.75,186.76,186.7,186.75,27877
06/21/2018,1134,186.74,186.74,186.67,186.69,18903
06/21/2018,1135,186.71,186.86,186.71,186.75,41546
06/21/2018,1136,186.76,186.78,186.68,186.71,37207
06/21/2018,1137,186.71,186.78,186.71,186.78,14028
06/21/2018,1138,186.79,186.84,186.77,186.82,13775
06/21/2018,1139,186.82,186.88,186.78,186.88,20233
06/21/2018,1140,186.87,186.88,186.77,186.8,22150
06/21/2018,1141,186.8,186.89,186.78,186.86,27508
06/21/2018,1142,186.87,186.9,186.84,186.9,13968
06/21/2018,1143,186.92,187.01,186.91,187.01,31040
06/21/2018,1144,187.02,187.15,187.02,187.15,38130
06/21/2018,1145,187.14,187.15,187.08,187.1,35368
06/21/2018,1146,187.1,187.17,187.1,187.13,18181
06/21/2018,1147,187.13,187.18,187.12,187.15,30263
06/21/2018,1148,187.15,187.23,187.14,187.23,21923
06/21/2018,1149,187.24,187.24,187.11,187.11,35723
06/21/2018,1150,187.1,187.16,187.07,187.09,45275
06/21/2018,1151,187.09,187.1,186.97,186.99,26028
06/21/2018,1152,186.98,186.98,186.89,186.93,36725
06/21/2018,1153,186.93,186.95,186.9,186.94,14797
06/21/2018,1154,186.94,186.98,186.9,186.94,22729
06/21/2018,1155,186.94,186.99,186.93,186.94,25350
06/21/2018,1156,186.93,186.96,186.9,186.94,24472
06/21/2018,1157,186.92,186.92,186.85,186.89,21534
06/21/2018,1158,186.9,186.92,186.83,186.84,20848
06/21/2018,1159,186.84,186.85,186.66,186.67,48100
06/21/2018,1200,186.66,186.68,186.57,186.59,64795
