date,delay,distance,origin,destination
01311200,2,162,IND,MDW
01210910,-9,304,PHX,SAN
01011308,9,370,LAX,PHX
03261446,-5,345,LAS,RNO
02011000,-10,229,DTW,MDW
03081124,0,187,CRP,HOU
01051110,3,347,PHX,ELP
02280705,0,546,GEG,SLC
01151805,-2,446,OAK,SAN
02132100,54,487,ABQ,LAS
01172020,15,229,MDW,DTW
01151735,-10,407,LAS,OAK
01292117,9,580,ABQ,DAL
01101410,70,308,LAX,SJC
03171623,5,405,MCI,MDW
02160745,-5,223,BUR,LAS
01220735,9,177,BNA,BHM
01170715,-14,546,GEG,SLC
03201840,-10,328,ABQ,PHX
01191136,30,370,LAX,PHX
01160735,-5,181,OKC,DAL
02101050,41,1671,DTW,PHX
02262025,-7,838,IND,TPA
01171530,0,796,MAF,LAS
01281545,16,1363,LAX,MCI
02280700,-2,377,BWI,MHT
02070740,5,437,MSY,DAL
03152100,-7,417,SAN,SJC
03030950,-5,174,PBI,TPA
03031730,-6,258,SAN,LAS
03072105,15,328,PHX,ABQ
02151200,11,319,MAF,DAL
03080855,-4,390,RNO,LAX
03210855,-5,395,MDW,BNA
02241843,15,371,SNA,OAK
01291700,-10,192,SAT,HOU
02081225,-12,1797,BNA,LAX
03291259,10,446,OAK,SAN
02091222,72,351,TUL,STL
01291455,-8,569,PDX,SJC
03191110,-6,324,AMA,DAL
02260700,30,677,ABQ,LAX
02252225,60,389,SMF,ONT
03151812,23,328,BWI,PVD
02071320,-5,236,LAX,LAS
03232137,13,178,MCO,FLL
03100815,-15,307,CLE,MDW
03281805,-3,321,ABQ,TUS
01081605,-17,765,ISP,MDW
03200640,-6,601,RNO,PHX
03271505,-10,328,ABQ,PHX
03221726,39,487,STL,CLE
01132010,-7,328,BWI,PVD
01081036,8,365,TUS,LAS
02140840,28,1236,MHT,MCI
01191505,-10,284,CMH,MDW
01291305,104,491,BNA,MCI
01161120,-7,444,PDX,RNO
03281520,5,251,MDW,STL
01262055,-10,174,TPA,PBI
01221928,7,405,MCI,MDW
01242305,-3,256,LAS,PHX
03211815,-6,251,STL,MDW
03011707,17,197,LAS,ONT
01270905,8,838,MDW,MHT
01201938,32,1072,MCI,MCO
01121115,65,296,LIT,STL
03311800,-3,223,BUR,LAS
03201330,-2,371,OAK,SNA
03272030,0,370,PHX,LAX
01131733,78,397,LAS,SMF
02181228,2,345,LAS,RNO
03311415,-34,859,JAX,ISP
02241510,26,325,OAK,BUR
02170910,-6,276,HRL,HOU
01251645,0,197,LAS,ONT
01281900,6,283,BDL,BWI
03231810,-8,256,PHX,LAS
02150945,-11,1448,PHX,BNA
01031020,-3,258,LAS,SAN
03221810,5,239,DAL,HOU
01091825,-25,997,MDW,TPA
01041300,-5,308,SJC,LAX
01290700,2,256,PHX,LAS
01201525,45,254,STL,SDF
03291738,22,588,BWI,BNA
03091310,-9,677,ELP,HOU
02161835,16,248,DAL,SAT
02281855,0,321,BHM,MSY
03141340,-10,256,LAS,PHX
02121606,5,276,HRL,HOU
01260900,-2,239,DAL,HOU
02111705,-10,295,ELP,LBB
01030950,0,324,AMA,DAL
02060700,-5,337,OAK,LAX
02281130,-3,342,STL,OMA
02122100,112,308,LAX,SJC
03090700,0,303,MSY,HOU
01301600,17,1262,STL,PHX
03201710,2,321,MSY,BHM
03232125,9,611,BWI,MDW
02071226,36,229,MDW,DTW
02270645,-10,284,MDW,CMH
02031040,-3,304,PHX,SAN
02031935,-5,647,PHX,SMF
03221210,-12,1140,MCI,LAS
03190847,7,296,STL,LIT
01260850,-1,447,SFO,SAN
01011410,-5,271,MDW,SDF
01201325,-4,440,STL,DTW
03251430,15,236,LAX,LAS
02181401,4,248,SAT,DAL
03190630,-25,833,OKC,PHX
02071015,-10,1040,MCO,SAT
03050825,-2,989,MCO,MDW
01181545,3,447,SFO,SAN
03291740,-5,303,HOU,MSY
02062045,-8,342,SNA,SJC
03050630,0,611,MDW,BWI
02230855,-7,588,BNA,BWI
02262340,110,588,BNA,BWI
02081630,19,507,SLC,PHX
01291230,2,189,DAL,AUS
02262136,6,189,DAL,AUS
01270700,-10,423,OMA,MDW
01260800,14,883,PBI,BWI
03231637,4,437,DAL,MSY
02010630,1,373,SMF,LAX
03051500,-4,239,HOU,DAL
01251105,0,564,RNO,SEA
03121430,11,616,BNA,MCO
01261234,12,325,PHX,ONT
01282050,3,611,MDW,BWI
02071120,5,446,SAN,OAK
03291410,-5,670,BNA,HOU
02121145,-5,319,DAL,MAF
02041725,-13,296,STL,LIT
03070650,-2,543,PDX,OAK
01281255,-2,271,MDW,SDF
03052120,-3,192,HOU,SAT
03310625,6,451,TUS,LAX
03170815,-2,217,IAH,DAL
03080800,1,342,SJC,SNA
03251114,20,337,OAK,LAX
03021032,-2,239,DAL,HOU
02161250,24,256,LAS,PHX
03271525,0,423,OMA,MDW
01261500,0,628,ABQ,SAN
02171420,14,397,SMF,LAS
01071330,3,689,SLC,SEA
01121619,57,258,LAS,SAN
02020750,-5,174,PBI,TPA
01050530,5,370,LAX,PHX
01281943,60,1506,PHX,SDF
03151535,32,197,TPA,FLL
03091240,34,373,SMF,LAX
03040825,-9,229,MDW,DTW
02151325,0,405,MCI,MDW
01031820,0,192,SAT,HOU
03152030,-15,938,BNA,MHT
03151639,25,397,LAS,SMF
03180735,-22,1497,TPA,ABQ
03090910,0,223,ELP,ABQ
01281425,-5,358,SMF,BUR
01161810,30,405,MDW,MCI
03232000,21,543,PDX,OAK
01080630,0,373,SMF,LAX
02151515,3,446,OAK,SAN
02211705,-10,108,ISP,PVD
01011730,-5,697,SEA,SJC
02112010,7,256,LAS,PHX
03221605,-2,318,JAX,FLL
01021322,47,229,DTW,MDW
01282125,48,663,BWI,JAX
03311352,-3,1489,OAK,MCI
03311600,-2,358,BUR,SMF
01261529,58,370,LAX,PHX
03181145,-2,319,MAF,DAL
02161135,-10,410,CMH,STL
03050935,17,2277,PHX,PVD
01202110,-5,451,MCI,IND
03281950,5,277,AMA,ABQ
02241825,85,687,HOU,STL
01181150,9,345,LAS,RNO
01250845,-3,670,BNA,HOU
01191120,14,457,DTW,BNA
01161755,-13,588,SLC,OAK
01310720,-10,762,PDX,LAS
03091350,-3,328,PHX,ABQ
03081655,27,321,MSY,BHM
03021710,0,405,MDW,MCI
02231555,-1,1912,PHX,BUF
03160841,-1,325,OAK,BUR
01212130,-5,239,HOU,DAL
03301239,9,423,MDW,OMA
03081340,-4,718,MCI,ABQ
01190925,8,588,BNA,BWI
01070715,-2,419,HOU,OKC
02181550,11,1044,PHX,MCI
02191750,73,236,LAS,LAX
02182253,28,303,MSY,HOU
03141415,-2,229,DTW,MDW
01151530,-6,237,STL,MCI
03281420,-14,1262,PHX,STL
02191940,5,588,SLC,OAK
01021320,1,342,SNA,SJC
03022045,-3,229,DTW,MDW
01152050,15,256,PHX,LAS
01111530,0,580,DAL,ABQ
03310700,5,1072,MCO,MCI
01291634,61,197,TPA,FLL
03130700,4,457,DTW,BNA
02151957,165,237,TUL,DAL
02090840,0,321,BHM,MSY
03052050,35,337,OAK,LAX
02150615,10,491,BNA,MCI
02200813,8,325,BUR,OAK
01151220,0,293,DAL,LBB
01100820,-1,562,DAL,ELP
01220705,-10,223,ABQ,ELP
03140745,2,223,BUR,LAS
01281400,-2,224,GEG,SEA
01051454,18,236,LAS,LAX
02061725,-8,471,BNA,MSY
03021726,32,417,SAN,SJC
01251350,6,562,DAL,ELP
03031715,-11,342,STL,OMA
01211930,7,389,SMF,ONT
01031630,25,833,PHX,OKC
03292140,3,601,PHX,RNO
01151618,6,419,OKC,HOU
02220730,-4,787,BWI,MCO
03301824,5,325,BUR,OAK
02281134,96,1772,LAS,CMH
03111300,-5,361,OAK,ONT
02101925,21,342,OMA,STL
02241215,-8,328,BWI,PVD
01161945,-3,258,SAN,LAS
03301130,-5,487,STL,CLE
03101025,0,405,MDW,MCI
01190700,-8,1090,AUS,LAS
03111540,-12,229,MDW,DTW
01250915,1,237,DAL,TUL
03170725,8,866,LAS,SEA
02280650,8,181,OKC,DAL
03201420,-2,324,DAL,AMA
03151445,9,239,HOU,DAL
01082038,42,347,ELP,PHX
02061720,-2,562,DAL,ELP
03012032,57,239,HOU,DAL
03191330,-8,281,BWI,BUF
02191555,5,616,MCO,BNA
02061100,-9,451,LAX,TUS
03010915,4,1073,MCO,PVD
01261220,-5,842,PVD,MDW
01281215,-8,852,BDL,BNA
01060820,-4,1588,LAS,BNA
03251210,4,323,SDF,BHM
01101310,-12,288,ALB,BWI
03211815,22,369,BUR,PHX
03130720,0,479,SMF,PDX
02192045,-8,148,AUS,HOU
02281150,-4,423,OMA,MDW
02221225,0,1797,BNA,LAX
01161505,38,307,CLE,MDW
03241525,-3,666,MDW,JAN
02091800,2,237,DAL,TUL
01312110,0,405,MDW,MCI
01021128,20,440,DTW,STL
03061520,5,377,BWI,MHT
01241625,9,883,PBI,BWI
01242030,45,528,ELP,AUS
03241240,-5,621,SJC,PHX
02091936,43,342,SJC,SNA
01130750,-6,367,TUS,SAN
03090805,0,338,CMH,BNA
01101616,36,189,DAL,AUS
03010800,-13,822,SAT,BNA
03161545,3,446,SAN,OAK
01301835,25,347,PHX,ELP
03280640,-8,670,HOU,BNA
03131405,0,188,SJC,RNO
03091740,0,872,AUS,PHX
03152040,-10,417,SJC,SAN
02232132,36,251,MDW,STL
02151330,1,237,MCI,STL
01061345,110,689,SEA,SLC
01032050,43,880,MCO,STL
03061845,-6,335,BOI,RNO
01180925,-5,1489,MCI,SEA
01231025,-5,296,STL,LIT
03130733,8,108,ISP,PVD
02091357,102,1072,MCI,MCO
03150905,12,487,MSY,TPA
03120655,-4,1481,PDX,MCI
02021554,13,283,BDL,BWI
01031010,-6,419,OKC,HOU
01191115,2,237,DAL,TUL
03251615,-5,197,TPA,FLL
02131150,-5,180,JAX,TPA
02192315,117,308,LAX,SJC
01080620,0,358,SMF,BUR
03100910,10,1442,SMF,MCI
01100650,-2,181,OKC,DAL
01251700,0,236,LAS,LAX
02161337,25,308,LAX,SJC
02071116,14,248,DAL,SAT
02240810,1,1814,LAX,IND
